"ID","Table"
"30","['17','94','83','96','72','91','62','8']""29","['78','89','73','92','91','94']"
"28","['90','73','79','77','76','78','88','75','97']""27","['19','80','78','82','18','89','85','83']"
"17","['95','94','96','88','72','85','99','96']""11","['3','25','86','73','82','95','89','72','80','71']"
"26","['12','97','8','91','78','94','73','81','58']""25","['83','87','81','92','11','78','88','85','84']"
"23","['72','81','89','83','77']""22","['43','71','92','98','76','90','83','99','89','73']"
"24","['84','90','71','86','81','52','44','79','78']""21","['75','79','77','99','92','89','83']"
"3","['71','86','100','77','89','96','4','99']""6","['96','85','80','13','91','71','87','83','93','99']"
"9","['39','87','73','89','93','80','84','79']""20","['84','83','74','73','94']"
"18","['75','100','14','81','26','58','12','86','84','85']""16","['44','99','77','91','73','76','78','86']"
"2","['98','71','75','87','83','75','85','78','73']""19","['72','22','27','87','93','86']"
"14","['26','78','77','74','98','88','83']""15","['44','100','16','86','96','75','76','83','71','46']"
"13","['91','83','88','98','84','76','73','99']""10","['99','94','76','52','95','74','88','89','51']"
"12","['97','90','88','24','3','91','18','58','75','99']""8","['79','19','84','81','93','91','99','94']"
"7","['72','87','85','93','83','92']""4","['75','98','47','86','99','89','71','96','100','21']"
"5","['51','47','79','92','76','95','77','86','72']""1","['77','84','83']"
"70","['92','80','72','76','77','82','74','71','95']""69","['87','73','83','93','82','90','99','98']"
"68","['80','98','84','75','72','81','83','76','31']""60","['93','79','76','87','46','71','84','8','83','82']"
"67","['80','95','91','90','86','84','76']""66","['97','72','98','95','90','89']"
"65","['73','80','75','89','99','98','97','96']""64","['40','91','83','75','100','74','76','92']"
"63","['97','73','80','77','100','87']""62","['73','76','88','61','82','81','74','83','72','30']"
"59","['93','72','73','84','96','78']""61","['30','26','60','80','92','74','73','72','93','81']"
"58","['12','100','77','73','8','94','26','75']""57","['82','89','77','75','72','95']"
"56","['79','100','71','86','82','81','84','95','91']""50","['74','90','79','86','83','80','71','96','92']"
"55","['79','88','100','85','73','96']""53","['96','94','92','71','76','79','99']"
"54","['59','92','85','83','94','88','98','90','76','71']""48","['84','74','72','97','98','81','93','85','87']"
"52","['76','83','89','80','98']""51","['83','87','74','88','89','95','10','91']"
"47","['89','6','77','82','10','78','94','24','93','86']""38","['96','98','97','85','88','90','75','100']"
"49","['87','81','84','95','89','86','74','100','72','88']""46","['87','97','96','100','83','15','98']"
"45","['100','84','76','94','93','89','87']""36","['77','76','73','92','83','71','81','94','82']"
"42","['73','88','99','98']""43","['73','71','76','99','78','89','22','92','83','75']"
"44","['15','98','72','24','78','90','86','84','97','4']""41","['100','73','77','78','87','88','76']"
"34","['83','80','97','73','98','96','86']""40","['76','87','90','83','94']"
"39","['89','86','100','74','55','94','81','93','80','9']""32","['89','72','82','80','98','84','77','75','73']"
"37","['90','95','58','82','100','99']""35","['84','85','89','82','73','76','79','81','87','91']"
"31","['75','72','68','80']""30","['94','83','96','62','99','81','84','93','91','17']"
"33","['73','79','76','90','83','86','77','94']""28","['73','79','77','86','74','81','94','90']"
"29","['78','73','92','91','94','89']""27","['19','80','78','18','89','85','83','82']"
"26","['97','78','73','81','58','84','92','89','86','12']""18","['100','14','26','58','98','90','95','75']"
"25","['83','87','81','11','78','88','85','84','92']""24","['84','71','86','81','52','44','79','78','90']"
"17","['72','73','100','82','71','94']""23","['81','89','83','77','72']"
"16","['99','77','91','73','76','78','86','44']""14","['83','76','85','82','81','88']"
"21","['73','100','89','4','96']""13","['83','88','98','84','76','73','99','91']"
"22","['43','92','98','76','90','83','99','89','73','71']""20","['83','74','73','94','84']"
"11","['25','86','73','82','95','89','72','80','71','3']""9","['39','73','89','93','80','84','79','87']"
"19","['22','27','87','93','86','72']""7","['72','87','85','83','92','93']"
"15","['44','16','75','76','71','89','73','95','77','86']""12","['90','88','24','3','91','18','58','75','99','97']"
"1","['84','83','77']""10","['94','76','52','51','96','85','92','14','97','99']"
"2","['71','75','87','83','75','85','78','73','98']""8","['90','100','81','96','74','91']"
"5","['47','79','92','76','95','77','86','72','51']""6","['80','91','87','99','84','76','80','96']"
"3","['71','100','77','89','96','4','99','86']""4","['75','98','47','86','71','78','79','81','82','96']"
"70","['80','72','76','77','82','74','71','95','92']""69","['73','83','93','82','90','99','98','87']"
"68","['84','81','83','31','95','82','87','72','75','98']""67","['95','91','90','86','84','76','80']"
"66","['72','98','95','90','89','97']""65","['73','75','89','99','98','97','96','80']"
"64","['40','83','75','100','74','76','92','91']""62","['61','30','96','88','81','90','79','75','72']"
"61","['30','26','60','92','74','73','72','93','81','80']""63","['72','76','84','91','93','97']"
"60","['79','76','87','46','71','84','8','83','82','93']""59","['93','72','73','84','78','92','76','85','90','96']"
"58","['100','8','88','89','93','82','12']""57","['89','77','75','72','95','82']"
"55","['79','100','85','73','96','88']""54","['59','98','76','71','72','77','91','99','92']"
"56","['100','81','95','97','98','86']""53","['94','92','71','76','79','99','96']"
"51","['88','95','79','77','72','5','83']""50","['74','80','97','87','95','85','79']"
"49","['72','77','79','100','94','83','89']""52","['76','83','80','98','89']"
"48","['98','81','85','71','76','92','82','71','97']""47","['6','77','82','10','78','94','24','93','86','89']"
"46","['87','96','100','83','15','98','97']""45","['87','90','96','98','73','89']"
"44","['98','90','86','84','99','91','78','16','15']""42","['99','84','97','90','89','88']"
"43","['73','71','76','22','90','85','91','88','99']""40","['76','87','83','94','90']"
"41","['73','77','78','87','88','76','100']""39","['86','100','74','94','81','79','84','73','80','93']"
"38","['96','97','85','88','90','75','100','98']""37","['95','58','82','100','99','90']"
"36","['76','73','92','83','71','81','94','82','77']""35","['84','85','82','73','76','79','81','87','91','89']"
"34","['80','97','73','98','96','86','83']""33","['73','76','90','83','86','77','94','79']"
"32","['86','74','99']""31","['72','68','80','75']"
"30","['62','84','93','91','17','100','73','72','71','83']""29","['83','82','74','71','78','88']"
"28","['74','90','98','83','71','86']""27","['18','89','88','74','93','99','95','80']"
"26","['73','58','92','89','86','18','90','99','88','81']""25","['83','81','11','78','88','85','84','92','87']"
"24","['71','86','81','52','44','79','78','90','84']""23","['89','83','77','72','81']"
"9","['100','82','81','99','98','89','92','93']""2","['71','75','83','75','85','78','73','98','87']"
"22","['43','92','76','90','83','99','89','73','71','98']""21","['73','100','4','96','89']"
"19","['22','87','93','86','72','73','92','89','27']""15","['71','89','73','95','78','84','91','16']"
"17","['73','100','82','71','94','81','99','96','30','72']""20","['74','73','94','84','83']"
"13","['88','98','84','76','73','99','91','83']""10","['76','52','51','96','85','92','14','97','99','94']"
"6","['84','73','89','92','72','91']""18","['100','26','58','98','90','95','75','14']"
"3","['96','4','95','72','73','11','77']""14","['83','76','82','81','88','85']"
"16","['86','90','89','83','71','75','97']""12","['84','26','100','93','88','91']"
"7","['72','85','83','92','93','87']""8","['90','100','81','74','91','96']"
"11","['25','86','82','89','80','3','99','100','71','95']""5","['51','71','73','89','91','92']"
"4","['75','47','86','71','78','79','81','82','96','98']""1","['83','77','84']"
"70","['72','76','77','82','74','71','95','92','80']""69","['100','81','77','73']"
"68","['81','31','95','98','77','80','88','92','83']""67","['91','90','86','84','76','80','95']"
"66","['72','95','90','89','97','98']""65","['73','89','99','98','97','96','80','75']"
"64","['40','75','100','74','76','92','91','83']""63","['72','76','84','91','97','93']"
"62","['61','30','96','81','90','79','75','72','88']""61","['30','26','92','74','73','72','93','81','80','60']"
"60","['79','76','84','82','99','88','92','99','87']""59","['72','73','84','78','92','76','85','90','96','93']"
"58","['3','78','75','93','84','83','77','84','8']""57","['85','74','92','97','86','77']"
"56","['100','95','97','98','86','81']""53","['92','71','76','79','99','96','94']"
"49","['100','83','89','97','90','86','87','94']""55","['100','85','73','96','88','79']"
"46","['87','100','83','15','98','97','96']""43","['90','85','99','74','79','86','80','100','91']"
"51","['88','79','77','72','5','83','95']""41","['73','78','87','88','76','100','96','85','76','77']"
"38","['96','85','88','90','75','100','98','97']""47","['6','82','10','78','94','24','93','86','89','77']"
"36","['73','92','83','71','81','94','82','77','76']""34","['97','73','98','96','86','83','80']"
"45","['87','90','96','73','89','98']""32","['74','99','88','85','73','80','89','86']"
"42","['84','97','90','89','88','86','95','74','80','99']""40","['76','83','94','90','87']"
"54","['72','99','92','90','96','86','75','59']""39","['100','74','84','71','97','85','86']"
"52","['76','80','98','89','83']""37","['58','82','100','99','90','95']"
"50","['80','97','87','95','85','79','74']""48","['76','71','97','100','91','94','85']"
"35","['84','82','73','76','79','81','87','91','89','85']""33","['73','90','83','86','77','94','79','76']"
"31","['75','99','74','82','100','83','72','72']""44","['90','99','16','15','77','75','76','78','84','98']"
"30","['62','84','93','17','100','73','72','71','83','91']""29","['82','74','71','78','88','83']"
"22","['43','76','90','83','99','89','73','71','98','92']""21","['100','4','96','89','99','77','86','81','73']"
"28","['90','98','83','71','86','74']""17","['73','100','71','94','81','99','96','30','72','82']"
"19","['73','89','74','18','81','90','85','71','92']""14","['98','100','75','58','18','76']"
"11","['25','82','89','80','3','99','100','71','95','86']""8","['100','81','74','91','96','78','84','3','58','90']"
"15","['73','78','91','16','86','97','83','89','84','71']""5","['51','71','73','89','92','91']"
"12","['84','26','100','88','91','93']""2","['71','75','75','85','78','73','98','87','83']"
"9","['100','82','81','98','89','92','93','99']""6","['73','89','92','72','91','86','77','99','79','84']"
"4","['47','86','71','78','79','81','82','96','98','75']""27","['88','95','72','86','87','19','89']"
"26","['58','92','89','86','18','90','99','88','81','73']""25","['81','11','78','88','85','84','92','87','83']"
"23","['83','77','72','81','89']""24","['86','81','52','44','79','78','90','84','71']"
"20","['73','94','84','83','100','92','79','71','80','74']""18","['90','95','14','83','81','85','88','82','98','26']"
"16","['86','89','83','71','75','97','84','95','15','90']""13","['73','83','77','94','85','76']"
"7","['96','89','74','79','78','72']""10","['52','85','97','94','98','74','87','82','76']"
"3","['4','95','72','73','11','77','96']""1","['77','84','83']"
"69","['100','77','73','93','80','94','75','89','81']""70","['72','77','82','74','71','95','92','80','76']"
"68","['31','77','92','100','97','94','95']""67","['90','86','84','76','80','95','91']"
"66","['72','90','89','97','98','95']""65","['89','99','98','97','96','80','75','73']"
"64","['40','100','74','76','92','91','83','75']""63","['72','76','84','97','93','74','92','78','91']"
"62","['30','96','81','90','79','75','72','88','61']""61","['73','84','86','79','85','26']"
"60","['92','72','74','85','79','86','82']""57","['85','74','92','86','77','75','94','96','97','97']"
"58","['75','83','77','84','91','96','81','90','74','93']""59","['54','98','80','83','87','85']"
"53","['71','76','79','99','96','94','92']""55","['85','73','96','88','79','76','77','71','95','100']"
"54","['72','92','90','96','86','75','59','84','76','99']""56","['81','83','87','72','73','90']"
"48","['71','97','100','91','94','85','76']""51","['5','92','99','87','86','72']"
"44","['99','16','15','77','75','76','78','84','98','90']""50","['80','87','95','85','79','74','78','83','92','97']"
"46","['100','83','15','98','97','96','77','75','76','87']""41","['78','87','88','76','100','96','85','76','77','73']"
"43","['74','79','91','87','81','76','73','86']""47","['82','10','78','94','24','93','86','89','77','6']"
"39","['85','79','99','80','99','74']""40","['76','94','90','87','83']"
"37","['82','100','99','90','95','58']""36","['92','83','71','81','94','82','77','76','73']"
"35","['82','73','76','79','81','87','91','89','85','84']""31","['75','74','82','100','83','72','72','99']"
